Species	Common.x	Category.x	Common.y	Category.y
Capsella bursa	NA	NA	"c(""shepherdspurse"", ""shepherd's-purse"")"	Domesticated Plant GRIN Food
Capsicum annuum	Bell pepper	Domesticated Plant Vegetable	cayenne pepper	Domesticated Plant GRIN Food
Capsicum pubescens	NA	NA	rocoto	Domesticated Plant GRIN Food
Caralluma edulis	NA	NA	NA	Domesticated Plant GRIN Food
Caralluma tuberculata	NA	NA	NA	Domesticated Plant GRIN Food
Cardiocrinum cordatum	NA	NA	NA	Domesticated Plant GRIN Food
Cardiocrinum giganteum	NA	NA	NA	Domesticated Plant GRIN Food
Carica papaya	Papaya	Domesticated Plant Fruit	"c(""papaya"", ""pawpaw"")"	Domesticated Plant GRIN Food
Carissa carandas	Bengal currant	Domesticated Plant Fruit	karanda	Domesticated Plant GRIN Food
Carissa macrocarpa	NA	NA	amatungulu	Domesticated Plant GRIN Food
Carissa spinarum	Conkerberry	Domesticated Plant Fruit	NA	Domesticated Plant GRIN Food
Carnegiea gigantea	Saguaro fruit	Domesticated Plant Fruit	"c(""Saguaro"", ""saguaro"")"	Domesticated Plant GRIN Food
Carpobrotus edulis	NA	NA	"c(""freeway iceplant"", ""Hottentot-fig"")"	Domesticated Plant GRIN Food
Carthamus tinctorius	NA	NA	safflower	Domesticated Plant GRIN Food
Carya cathayensis	NA	NA	NA	Domesticated Plant GRIN Food
Carya hunanensis	NA	NA	NA	Domesticated Plant GRIN Food
Carya illinoinensis	NA	NA	"c(""nuez encarcelada"", ""nogal morado"", ""pecanier"", ""pecan"")"	Domesticated Plant GRIN Food
Carya ovata	NA	NA	"c(""shagbark hickory"", ""caryer ovale"", ""noyer tendre"", ""shellbark hickory"")"	Domesticated Plant GRIN Food
Caryocar amygdaliferum	NA	NA	achotillo	Domesticated Plant GRIN Food
Caryocar brasiliense	Pequi	Domesticated Plant Fruit	pequi	Domesticated Plant GRIN Food
Caryocar nuciferum	NA	NA	souari nut	Domesticated Plant GRIN Food
