#Non Wild Species used to filter BioProjects from the INSDC SRA in Crandall et al. Metadata preservation and stewardship for genomic data is possible, but must happen now
#Please see the supplemental materials of Toczydlowski et al. 2021 PNAS for how this list was compiled https://doi.org/10.1073/pnas.2107934118
Species	Common	Category	Source
Axonopus fissifolius	"c(""common carpetgrass"", ""carpetgrass"", ""Louisiana grass"", ""mat grass"", ""narrowleaved carpetgrass"")"	Domesticated Plant	GRIN Lawn
Bothriochloa pertusa	pitted beardgrass	Domesticated Plant	GRIN Lawn
Bouteloua curtipendula	sideoats grama	Domesticated Plant	GRIN Lawn
Bouteloua gracilis	blue grama	Domesticated Plant	GRIN Lawn
Chrysopogon aciculatus	"c(""golden false beardgrass"", ""pilipiliula"", ""golden beardgrass"", ""inifuk"", ""Mackie's pest"", ""matapekepeke"", ""seed grass"")"	Domesticated Plant	GRIN Lawn
Cynodon dactylon	"c(""chiendent pied-de-poule"", ""devilgrass"", ""grama-seda"", ""manienie"", ""motie molulu"", ""Bermudagrass"", ""common bermudagrass"")"	Domesticated Plant	GRIN Lawn
Cynodon transvaalensis	"c(""Bermudagrass"", ""African dogstooth grass"")"	Domesticated Plant	GRIN Lawn
Deschampsia cespitosa	tufted hairgrass	Domesticated Plant	GRIN Lawn
Dichanthium aristatum	Angleton bluestem	Domesticated Plant	GRIN Lawn
Dichondra micrantha	Asian ponysfoot	Domesticated Plant	GRIN Lawn
Digitaria didactyla	crabgrass	Domesticated Plant	GRIN Lawn
Distichlis spicata	"c(""desert saltgrass"", ""marsh spikegrass"", ""saltgrass"", ""inland saltgrass"", ""seashore saltgrass"")"	Domesticated Plant	GRIN Lawn
Elymus lanceolatus	"c(""streambank wheatgrass"", ""streamside wild rye"")"	Domesticated Plant	GRIN Lawn
Eragrostis tenella	Japanese lovegrass	Domesticated Plant	GRIN Lawn
Eremochloa ophiuroides	centipede grass	Domesticated Plant	GRIN Lawn
Festuca arundinacea	"c(""Alta fescue"", ""coarse fescue"", ""reed fescue"", ""tall fescue"")"	Domesticated Plant	GRIN Lawn
Festuca filiformis	fineleaf sheep fescue	Domesticated Plant	GRIN Lawn
Festuca ovina	sheep fescue	Domesticated Plant	GRIN Lawn
Festuca rubra	"c(""red fescue"", ""ravine fescue"")"	Domesticated Plant	GRIN Lawn
Festuca trachyphylla	hard fescue	Domesticated Plant	GRIN Lawn
Hilaria belangeri	"c(""curly mesquite"", ""curly-mesquite"", ""Common curleymesquite"", ""curleymesquite"", ""curlymesquite"")"	Domesticated Plant	GRIN Lawn
Holcus mollis	creeping velvetgrass	Domesticated Plant	GRIN Lawn
Koeleria macrantha	"c(""junegrass"", ""prairie Junegrass"")"	Domesticated Plant	GRIN Lawn
Lolium multiflorum	"c(""annual ryegrass"", ""Italian ryegrass"")"	Domesticated Plant	GRIN Lawn
Lolium perenne	"c(""perennial rye grass"", ""perennial ryegrass"", ""Italian ryegrass"")"	Domesticated Plant	GRIN Lawn
Paspalum notatum	"c(""Bahia grass"", ""bahiagrass"")"	Domesticated Plant	GRIN Lawn
Paspalum vaginatum	seashore paspalum	Domesticated Plant	GRIN Lawn
Phyla canescens	"c(""hairy fogfruit"", ""hairy frogfruit"", ""carpet-grass"")"	Domesticated Plant	GRIN Lawn
Poa annua	"c(""annual blue grass"", ""walkgrass"", ""annual bluegrass"")"	Domesticated Plant	GRIN Lawn
Poa arachnifera	Texas bluegrass	Domesticated Plant	GRIN Lawn
Poa compressa	"c(""flat-stem blue grass"", ""Canada bluegrass"")"	Domesticated Plant	GRIN Lawn
Poa nemoralis	"c(""forest blue grass"", ""wood bluegrass"")"	Domesticated Plant	GRIN Lawn
Poa pratensis	Kentucky bluegrass	Domesticated Plant	GRIN Lawn
Poa supina	bluegrass	Domesticated Plant	GRIN Lawn
Poa trivialis	rough bluegrass	Domesticated Plant	GRIN Lawn
Puccinellia distans	"c(""spreading alkali grass"", ""weeping alkaligrass"", ""European alkaligrass"")"	Domesticated Plant	GRIN Lawn
Stenotaphrum secundatum	"c(""St. Augustine grass"", ""St. Augustinegrass"")"	Domesticated Plant	GRIN Lawn
Trifolium fragiferum	strawberry clover	Domesticated Plant	GRIN Lawn
Trisetum flavescens	yellow oatgrass	Domesticated Plant	GRIN Lawn
Zoysia japonica	Korean lawngrass	Domesticated Plant	GRIN Lawn
Zoysia matrella	Manila grass	Domesticated Plant	GRIN Lawn
Zoysia tenuifolia	Mascarene grass	Domesticated Plant	GRIN Lawn
Abelmoschus esculentus	Okra	Domesticated Plant	Khouri et al. 2016
Actinidia	Kiwi	Domesticated Plant	Khouri et al. 2016
Allium cepa	Onions	Domesticated Plant	Khouri et al. 2016
Allium porrum	Leeks	Domesticated Plant	Khouri et al. 2016
Allium sativum	Garlic	Domesticated Plant	Khouri et al. 2016
Anacardium occidentale	Cashew	Domesticated Plant	Khouri et al. 2016
Ananas comosus	Pineapples	Domesticated Plant	Khouri et al. 2016
Arachis hypogaea	Groundnut	Domesticated Plant	Khouri et al. 2016
Areca catechu	Areca nuts	Domesticated Plant	Khouri et al. 2016
Asparagus officinalis	Asparagus	Domesticated Plant	Khouri et al. 2016
Avena sativa	Oats	Domesticated Plant	Khouri et al. 2016
Bertholletia excelsa	Brazil nuts	Domesticated Plant	Khouri et al. 2016
Beta vulgaris	Sugar beet	Domesticated Plant	Khouri et al. 2016
Brassica juncea	Mustard spice	Domesticated Plant	Khouri et al. 2016
Brassica napus	Rapeseed	Domesticated Plant	Khouri et al. 2016
Brassica oleracea	Cabbages	Domesticated Plant	Khouri et al. 2016
Brassica rapa	Turnips	Domesticated Plant	Khouri et al. 2016
Cajanus cajan	Pigeonpeas	Domesticated Plant	Khouri et al. 2016
Camellia sinensis	Tea	Domesticated Plant	Khouri et al. 2016
Cannabis sativa	Marijuana/Hemp	Domesticated Plant	Khouri et al. 2016
Capsicum annuum	Bell Pepper	Domesticated Plant	Khouri et al. 2016
Capsicum chinense	Habenero	Domesticated Plant	Khouri et al. 2016
Carica papaya	Papayas	Domesticated Plant	Khouri et al. 2016
Carthamus tinctorius	Safflower seed	Domesticated Plant	Khouri et al. 2016
Castanea sativa	Chestnut	Domesticated Plant	Khouri et al. 2016
Cenchrus americanus	Pearl millet	Domesticated Plant	Khouri et al. 2016
Ceratonia siliqua	Carob	Domesticated Plant	Khouri et al. 2016
Chenopodium quinoa	Quinoa	Domesticated Plant	Khouri et al. 2016
Cicer arietinum	Chickpeas	Domesticated Plant	Khouri et al. 2016
Cichorium intybus	Chicory roots	Domesticated Plant	Khouri et al. 2016
Citrullus lanatus	Watermelons	Domesticated Plant	Khouri et al. 2016
Citrus	Citrus	Domesticated Plant	Khouri et al. 2016
Cocos nucifera	Coconuts	Domesticated Plant	Khouri et al. 2016
Coffea arabica	Arabica coffee	Domesticated Plant	Khouri et al. 2016
Coffea canephora	Robusta coffee	Domesticated Plant	Khouri et al. 2016
Cola nitida	Cola	Domesticated Plant	Khouri et al. 2016
Colocasia esculenta	Taro	Domesticated Plant	Khouri et al. 2016
Coriandrum sativum	Coriander	Domesticated Plant	Khouri et al. 2016
Corylus avellana	Hazelnuts	Domesticated Plant	Khouri et al. 2016
Cucumis melo	Melons	Domesticated Plant	Khouri et al. 2016
Cucumis sativus	Cucumbers	Domesticated Plant	Khouri et al. 2016
Cucurbita maxima	Winter squash	Domesticated Plant	Khouri et al. 2016
Cucurbita moschata	Butternut squash	Domesticated Plant	Khouri et al. 2016
Cucurbita pepo	Pumpkin	Domesticated Plant	Khouri et al. 2016
Cydonia oblonga	Quinces	Domesticated Plant	Khouri et al. 2016
Cynara cardunculus	Artichokes	Domesticated Plant	Khouri et al. 2016
Daucus carota	Carrots & turnips	Domesticated Plant	Khouri et al. 2016
Digitaria exilis	Fonio	Domesticated Plant	Khouri et al. 2016
