Species	Common	Category
Plasmodium blacklocki	NA	Human Pathogen VEuPathDB
Plasmodium coatneyi	NA	Human Pathogen VEuPathDB
Paratrypanosoma confusum	NA	Human Pathogen VEuPathDB
Plasmodium fragile	NA	Human Pathogen VEuPathDB
Plasmodium gaboni	NA	Human Pathogen VEuPathDB
Plasmodium gallinaceum	NA	Human Pathogen VEuPathDB
Pediculus humanus	human louse	Human Pathogen VEuPathDB
Plasmodium malariae	NA	Human Pathogen VEuPathDB
Pseudoloma neurophilia	NA	Human Pathogen VEuPathDB
Plasmodium ovale curtisi	NA	Human Pathogen VEuPathDB
Phytophthora palmivora	NA	Human Pathogen VEuPathDB
Phlebotomus papatasi	NA	Human Pathogen VEuPathDB
Phytophthora plurivora	NA	Human Pathogen VEuPathDB
Plasmodium praefalciparum	NA	Human Pathogen VEuPathDB
Phytophthora ramorum	Sudden oak death agent	Human Pathogen VEuPathDB
Plasmodium reichenowi	NA	Human Pathogen VEuPathDB
Plasmodium relictum	NA	Human Pathogen VEuPathDB
Plasmodium vinckei	NA	Human Pathogen VEuPathDB
Plasmodium vivax-like sp.	NA	Human Pathogen VEuPathDB
Rhodnius prolixus	NA	Human Pathogen VEuPathDB
Scedosporium apiospermum	NA	Human Pathogen VEuPathDB
Stomoxys calcitrans	stable fly	Human Pathogen VEuPathDB
Sarcocystis neurona	NA	Human Pathogen VEuPathDB
Spironucleus salmonicida	NA	Human Pathogen VEuPathDB
Sarcoptes scabiei	NA	Human Pathogen VEuPathDB
Trypanosoma evansi	NA	Human Pathogen VEuPathDB
Trypanosoma grayi	NA	Human Pathogen VEuPathDB
Trachipleistophora hominis	NA	Human Pathogen VEuPathDB
Trypanosoma theileri	NA	Human Pathogen VEuPathDB
