Species	Common	Category
Pyrus communis	European pear	Domesticated Plant Khouri et al. 2016
Pyrus pyrifolia	Nashi pear	Domesticated Plant Khouri et al. 2016
Pyrus ussuriensis	Chinese pear	Domesticated Plant GRIN Food
Rangifer tarandus	Reindeer	Domesticated Animal FAO
Raphanus sativus 	Daikon	Domesticated Plant Vegetable Wikipedia
Rattus norvegicus	Fancy rat and laboratory rat (Rattus norvegicus domestica)	Domesticated Animal Wikipedia
Rattus rattus	"c(""rat noir"", ""House Rat"", ""Black Rat"", ""Roof Rat"")"	Domesticated Animal Student
Rheum × hybridum	Rhubarb	Domesticated Plant Fruit Wikipedia
Ribes aureum	golden currant	Domesticated Plant GRIN Food
Ribes divaricatum	"c(""straggly gooseberry"", ""spreading gooseberry"")"	Domesticated Plant GRIN Food
Ribes hirtellum	"c(""hairystem gooseberry"", ""hairy-stem gooseberry"")"	Domesticated Plant GRIN Food
Ribes nigrum	Black current	Domesticated Plant Khouri et al. 2016
Ribes niveum	"c(""white-flowered gooseberry"", ""snowy gooseberry"", ""snow currant"")"	Domesticated Plant GRIN Food
Ribes rubrum	Red current	Domesticated Plant Khouri et al. 2016
Ribes spicatum	currant	Domesticated Plant GRIN Food
Ribes uva	European gooseberry	Domesticated Plant GRIN Food
Ribes uva-crispa	Gooseberries	Domesticated Plant Khouri et al. 2016
Ricinus communis	Castor oil	Domesticated Plant Khouri et al. 2016
Rollinia deliciosa	Biribá	Domesticated Plant Fruit Wikipedia
Rosa arkansana	"c(""prairie rose"", ""Arkansas rose"", ""prairie wildrose"", ""wild rose"")"	Domesticated Plant GRIN Food
Rosa laevigata	Cherokee rose	Domesticated Plant GRIN Food
Rosa roxburghii	"c(""Chinquapin rose"", ""chestnut rose"")"	Domesticated Plant GRIN Food
Rosa rugosa	Rose hip	Domesticated Plant Fruit Wikipedia
Rosa villosa	apple rose	Domesticated Plant GRIN Food
Rubus allegheniensis	Blackberry	Domesticated Plant Fruit Wikipedia
Rubus idaeus	Raspberries	Domesticated Plant Khouri et al. 2016
Rubus probus	Atherton raspberry	Domesticated Plant Fruit Wikipedia
Rubus strigosus	American red raspberry	Domesticated Plant Fruit Wikipedia
Rubus ursinus × rubus idaeus	Boysenberry	Domesticated Plant Fruit Wikipedia
Ruditapes philippinarum	Manila Clam	Domesticated Aquaculture FAO
Rumex acetosa	Sorrel	Domesticated Plant Vegetable Wikipedia
Saccharomyces cerevisiae	Beer Yeast	Domesticated Fungus Wikipedia
Saccharum officinarum	Sugarcane	Domesticated Plant Khouri et al. 2016
Salmo salar	Atlantic salmon	Domesticated Aquaculture FAO
Salvia columbariae	chia	Domesticated Plant GRIN Food
Salvia hispanica	chia	Domesticated Plant GRIN Food
Salvia potus	chia	Domesticated Plant GRIN Food
Salvia rosmarinus	Rosemary	Domesticated Plant Other Wikipedia
Sargassum fusiforme	Fusiform sargassum	Domesticated Aquaculture FAO
Secale cereale	Rye	Domesticated Plant Khouri et al. 2016
Serinus canaria	Domestic canary (Serinus canaria domestica)	Domesticated Animal Wikipedia
Sesamum indicum	Sesame	Domesticated Plant Khouri et al. 2016
Sinonovacula constricta	Constricted tagelus	Domesticated Aquaculture FAO
Solanum lycopersicum	Tomatoes	Domesticated Plant Khouri et al. 2016
Solanum melongena	Eggplants	Domesticated Plant Khouri et al. 2016
Solanum tuberosum	Potatoes	Domesticated Plant Khouri et al. 2016
